76,15,77,15,60,75,60,60,60,15,60,77,75,60,76,60,15,61,76,61,77,61,60,60,75,74,77,75,15,75,61,61,60,74,76,75,77,74,76,75,60,61,61,75,76,76,60,61,76,60,76,75,76,75,61,76,61,77,77,61,75,75,60,61,74,74,74,75,15,75,74,61,61,75,15,74,76,15,60,74,15,74,77,75,61,77,76,76,60,60,75,15,77,60,61,75,76,76,76,74
61,74,15,76,61,77,75,15,61,77,77,60,76,76,75,75,77,76,74,74,15,61,75,77,77,77,74,60,76,60,74,74,77,76,76,77,77,15,75,60,61,60,75,15,15,60,76,15,74,74,74,75,15,76,61,74,77,76,74,60,74,61,61,74,74,60,15,61,76,75,77,61,61,77,75,61,76,61,76,75,76,15,77,61,15,77,76,74,61,74,15,74,61,77,61,75,74,74,15,76
76,76,60,60,15,15,60,60,61,60,15,15,60,60,61,15,60,61,60,60,61,15,60,15,15,61,60,15,60,61,61,61,15,60,60,15,60,61,15,15,15,61,60,60,61,61,61,60,60,61,61,15,15,15,60,61,60,61,60,61,60,61,15,60,61,15,61,15,60,60,15,60,15,15,61,61,61,61,60,60,61,60,60,61,61,61,60,61,61,61,60,15,60,60,15,61,61,61,60,76
60,75,60,61,60,61,61,61,60,61,61,61,61,61,15,60,60,15,15,60,15,15,15,60,60,60,15,60,61,15,15,15,61,15,60,15,15,15,61,61,61,15,61,15,61,61,61,60,15,61,15,61,15,15,15,15,60,15,60,61,15,60,60,60,15,15,15,60,60,61,61,60,61,61,60,61,61,61,15,61,15,60,15,60,61,60,15,61,15,61,60,60,15,60,60,15,15,60,77,61
61,60,60,15,61,60,15,15,15,60,60,60,60,60,60,60,61,61,60,61,15,15,61,61,61,60,15,61,15,60,61,60,60,60,15,15,15,61,15,60,60,61,15,60,61,61,60,15,60,15,60,60,61,60,15,61,61,60,60,60,61,15,61,15,60,60,61,60,60,60,60,61,61,15,60,60,15,61,60,60,60,15,15,61,15,15,60,60,15,61,60,60,61,60,15,61,61,60,60,75
15,74,15,15,61,60,15,60,61,61,61,15,61,60,61,61,60,15,15,60,15,60,61,15,61,60,61,15,61,60,60,15,61,61,61,60,61,61,15,60,15,60,15,61,15,60,61,60,61,60,60,15,60,61,15,61,15,15,15,61,61,61,60,61,61,60,15,60,60,61,15,61,60,60,15,60,61,61,61,60,61,15,60,15,15,61,61,15,60,61,15,60,60,15,60,15,60,60,77,15
75,15,61,61,61,15,15,60,15,61,15,60,61,15,15,61,60,61,60,61,60,60,60,61,61,60,61,60,15,15,15,75,0,1,1,1,1,1,1,1,1,1,1,3,60,60,60,61,61,60,60,60,61,60,61,15,15,15,61,60,61,15,61,60,61,60,60,60,61,61,61,61,61,15,61,15,61,61,60,61,15,61,15,61,60,60,15,61,61,15,15,61,61,60,15,60,61,15,60,77
15,15,61,60,61,15,15,60,15,61,61,60,60,15,61,61,60,61,61,15,61,60,61,15,60,15,60,61,15,60,61,60,14,15,15,15,15,15,15,15,15,15,15,17,15,60,61,60,61,61,61,61,61,60,15,60,61,60,15,60,60,15,60,61,15,60,60,60,60,60,61,60,60,60,15,61,61,61,15,60,15,15,60,60,60,15,15,60,15,60,15,61,61,15,15,15,61,15,60,60
75,75,60,61,61,15,60,15,61,61,60,15,61,60,61,61,15,61,15,61,61,61,61,61,15,15,15,15,60,60,61,15,14,15,15,15,15,15,15,15,15,15,15,17,61,61,60,15,15,15,60,61,61,15,15,60,60,61,61,60,61,15,61,60,60,61,60,15,60,15,61,15,61,15,15,61,15,15,61,60,61,60,60,61,15,60,61,60,61,61,60,60,60,15,15,61,60,61,75,77
74,76,15,60,61,15,60,61,61,61,61,15,15,60,15,61,15,15,15,60,61,15,61,61,15,61,61,61,61,60,61,60,14,15,15,15,15,15,15,15,15,15,15,17,15,60,61,61,60,15,61,61,61,15,60,61,61,61,61,61,61,60,15,60,61,15,61,60,61,61,15,60,15,15,60,60,61,61,61,15,15,15,60,15,15,15,61,61,15,61,60,15,15,60,60,61,60,61,61,76
76,77,61,60,61,15,61,60,61,15,60,60,61,15,15,60,15,60,61,60,15,60,15,61,15,60,61,60,60,61,15,15,14,15,15,15,15,15,15,15,15,15,15,17,15,15,15,60,61,61,15,60,61,15,15,61,61,60,61,61,61,15,15,61,60,61,61,60,60,60,61,15,61,61,61,61,61,60,61,60,15,15,15,61,15,60,61,15,15,60,61,61,15,60,15,15,61,61,61,60
